Title,Year,Poster_URL
Toy Story,1995,https://upload.wikimedia.org/wikipedia/en/thumb/1/13/Toy_Story.jpg/220px-Toy_Story.jpg
A Bug's Life,1998,https://upload.wikimedia.org/wikipedia/en/thumb/c/cc/A_Bug%27s_Life.jpg/220px-A_Bug%27s_Life.jpg
Toy Story 2,1999,https://upload.wikimedia.org/wikipedia/en/thumb/c/c0/Toy_Story_2.jpg/220px-Toy_Story_2.jpg
"Monsters, Inc.",2001,https://upload.wikimedia.org/wikipedia/en/6/63/Monsters_Inc.JPG
Finding Nemo,2003,https://upload.wikimedia.org/wikipedia/en/thumb/2/29/Finding_Nemo.jpg/220px-Finding_Nemo.jpg
The Incredibles,2004,https://upload.wikimedia.org/wikipedia/en/thumb/2/27/The_Incredibles_%282004_animated_feature_film%29.jpg/220px-The_Incredibles_%282004_animated_feature_film%29.jpg
Cars,2006,https://upload.wikimedia.org/wikipedia/en/thumb/3/34/Cars_2006.jpg/220px-Cars_2006.jpg
Ratatouille,2007,https://upload.wikimedia.org/wikipedia/en/5/50/RatatouillePoster.jpg
WALL-E,2008,https://upload.wikimedia.org/wikipedia/en/thumb/4/4c/WALL-E_poster.jpg/220px-WALL-E_poster.jpg
Up,2009,https://upload.wikimedia.org/wikipedia/en/thumb/0/05/Up_%282009_film%29.jpg/220px-Up_%282009_film%29.jpg
Toy Story 3,2010,https://upload.wikimedia.org/wikipedia/en/6/69/Toy_Story_3_poster.jpg
Cars 2,2011,https://upload.wikimedia.org/wikipedia/en/thumb/7/7f/Cars_2_Poster.jpg/220px-Cars_2_Poster.jpg
Brave,2012,https://upload.wikimedia.org/wikipedia/en/thumb/9/96/Brave_Poster.jpg/220px-Brave_Poster.jpg
Monsters University,2013,https://upload.wikimedia.org/wikipedia/en/thumb/2/2a/Monsters_University_poster_3.jpg/220px-Monsters_University_poster_3.jpg
Inside Out,2015,https://upload.wikimedia.org/wikipedia/en/0/0a/Inside_Out_%282015_film%29_poster.jpg
The Good Dinosaur,2015,https://upload.wikimedia.org/wikipedia/en/thumb/8/80/The_Good_Dinosaur_poster.jpg/220px-The_Good_Dinosaur_poster.jpg
Finding Dory,2016,https://upload.wikimedia.org/wikipedia/en/thumb/3/3e/Finding_Dory.jpg/220px-Finding_Dory.jpg
Cars 3,2017,https://upload.wikimedia.org/wikipedia/en/thumb/9/94/Cars_3_poster.jpg/220px-Cars_3_poster.jpg
Coco,2017,https://upload.wikimedia.org/wikipedia/en/9/98/Coco_%282017_film%29_poster.jpg
Incredibles 2,2018,https://upload.wikimedia.org/wikipedia/en/thumb/1/1f/Incredibles_2_%282018_animated_film%29.jpg/220px-Incredibles_2_%282018_animated_film%29.jpg
Toy Story 4,2019,https://upload.wikimedia.org/wikipedia/en/4/4c/Toy_Story_4_poster.jpg
Onward,2020,https://upload.wikimedia.org/wikipedia/en/0/03/Onward_poster.jpg
Soul,2020,https://upload.wikimedia.org/wikipedia/en/thumb/3/39/Soul_%282020_film%29_poster.jpg/220px-Soul_%282020_film%29_poster.jpg
Luca,2021,https://upload.wikimedia.org/wikipedia/en/thumb/3/33/Luca_%282021_film%29.png/220px-Luca_%282021_film%29.png
Turning Red,2022,https://upload.wikimedia.org/wikipedia/en/thumb/9/9e/Turning_Red_poster.jpg/220px-Turning_Red_poster.jpg
Lightyear,2022,https://upload.wikimedia.org/wikipedia/en/thumb/f/f9/Lightyear_%28film%29_poster.jpg/220px-Lightyear_%28film%29_poster.jpg
Elemental,2023,https://upload.wikimedia.org/wikipedia/en/thumb/4/4d/Elemental_final_poster.jpg/220px-Elemental_final_poster.jpg
Inside Out 2,2024,https://upload.wikimedia.org/wikipedia/en/thumb/f/f7/Inside_Out_2_poster.jpg/220px-Inside_Out_2_poster.jpg
